Closest predicted index: 2540, MAE: [0.00037454], Loss: -327966596186372.1, Alpha: 0.1, Beta: 0.1, Gamma: 0.1
Closest predicted index: 2279, MAE: [0.00045589], Loss: -327966471563580.56, Alpha: 0.1, Beta: 0.1, Gamma: 1.0
Closest predicted index: 2598, MAE: [0.00011072], Loss: -310320170590015.2, Alpha: 0.1, Beta: 1.0, Gamma: 0.0001
Closest predicted index: 2576, MAE: [0.00023881], Loss: -310320163274211.9, Alpha: 0.1, Beta: 1.0, Gamma: 0.001
Closest predicted index: 2602, MAE: [0.00050023], Loss: -310320161538923.44, Alpha: 0.1, Beta: 1.0, Gamma: 0.01
Closest predicted index: 2598, MAE: [0.00054716], Loss: -310320167244814.94, Alpha: 0.1, Beta: 1.0, Gamma: 0.1
Closest predicted index: 2602, MAE: [2.57394792e-05], Loss: -310320161274019.5, Alpha: 0.1, Beta: 1.0, Gamma: 1.0
Closest predicted index: 2598, MAE: [1.05939287e-05], Loss: -133855721621950.02, Alpha: 0.1, Beta: 10, Gamma: 0.0001
Closest predicted index: 3634, MAE: [0.00085434], Loss: -133841453704760.67, Alpha: 0.1, Beta: 10, Gamma: 0.001
Closest predicted index: 2802, MAE: [0.00063501], Loss: -133855651234498.0, Alpha: 0.1, Beta: 10, Gamma: 0.01
Closest predicted index: 2602, MAE: [0.00066046], Loss: -133855712286550.02, Alpha: 0.1, Beta: 10, Gamma: 0.1
Closest predicted index: 2841, MAE: [0.00059643], Loss: -133855704768609.17, Alpha: 0.1, Beta: 10, Gamma: 1.0
Closest predicted index: 2598, MAE: [0.00028917], Loss: -3299294316878948.0, Alpha: 1.0, Beta: 0.0001, Gamma: 0.0001
Closest predicted index: 2606, MAE: [0.00021879], Loss: -3299294307176909.0, Alpha: 1.0, Beta: 0.0001, Gamma: 0.001
Closest predicted index: 3236, MAE: [0.00047457], Loss: -3299293459431554.5, Alpha: 1.0, Beta: 0.0001, Gamma: 0.01
Closest predicted index: 2610, MAE: [0.00010522], Loss: -3299294320939794.5, Alpha: 1.0, Beta: 0.0001, Gamma: 0.1
Closest predicted index: 3173, MAE: [0.00104534], Loss: -3299289212788198.0, Alpha: 1.0, Beta: 0.0001, Gamma: 1.0
Closest predicted index: 2598, MAE: [7.60152505e-05], Loss: -3299276675573967.5, Alpha: 1.0, Beta: 0.001, Gamma: 0.0001
Closest predicted index: 2598, MAE: [0.0004371], Loss: -3299276680057552.5, Alpha: 1.0, Beta: 0.001, Gamma: 0.001
Closest predicted index: 2581, MAE: [5.6041409e-05], Loss: -3299276659725885.5, Alpha: 1.0, Beta: 0.001, Gamma: 0.01
Closest predicted index: 2598, MAE: [6.98218487e-05], Loss: -3299276669592748.0, Alpha: 1.0, Beta: 0.001, Gamma: 0.1
Closest predicted index: 2597, MAE: [0.00019939], Loss: -3299276652591125.5, Alpha: 1.0, Beta: 0.001, Gamma: 1.0
Closest predicted index: 2598, MAE: [0.0001533], Loss: -3299100215369111.5, Alpha: 1.0, Beta: 0.01, Gamma: 0.0001
Closest predicted index: 2598, MAE: [0.00023407], Loss: -3299100208857312.0, Alpha: 1.0, Beta: 0.01, Gamma: 0.001
Closest predicted index: 1984, MAE: [0.00045978], Loss: -3299100025298021.5, Alpha: 1.0, Beta: 0.01, Gamma: 0.01
Closest predicted index: 2565, MAE: [0.00096894], Loss: -3299100197418147.5, Alpha: 1.0, Beta: 0.01, Gamma: 0.1
Closest predicted index: 2599, MAE: [0.00052916], Loss: -3299100198743667.0, Alpha: 1.0, Beta: 0.01, Gamma: 1.0
Closest predicted index: 2259, MAE: [0.00067971], Loss: -3297335504163962.0, Alpha: 1.0, Beta: 0.1, Gamma: 0.0001
